Name,Team,Game Played,AB,Run,Hit,Double,Triple,Homerun,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Vladimir Guerrero,TOR,2,8,1,1,0,0,0,1,1,1,0,0,0.125,0.222,0.125,0.347
Manuel Margot,TB,2,8,0,1,0,0,0,0,1,1,0,1,0.125,0.222,0.125,0.347
Tomas Nido,NYM,3,8,0,1,0,0,0,0,1,4,0,0,0.125,0.222,0.125,0.347
Oswaldo Cabrera,NYY,8,28,2,2,1,0,1,2,1,12,0,0,0.071,0.103,0.214,0.317
andy Arozarena,TB,2,9,0,1,0,0,0,0,1,5,0,0,0.111,0.2,0.111,0.311
Wander Franco,TB,2,9,0,1,0,0,0,0,1,2,0,0,0.111,0.2,0.111,0.311
Ji-Man Choi,TB,2,5,0,0,0,0,0,0,2,1,0,0,0,0.286,0,0.286
Nolan Arenado,STL,2,8,1,1,0,0,0,0,0,2,0,0,0.125,0.125,0.125,0.25
Yadier Molina,STL,2,8,0,1,0,0,0,0,0,2,0,0,0.125,0.125,0.125,0.25
Jarred Kelenic ,SEA,5,17,1,2,0,0,0,1,0,7,0,1,0.118,0.111,0.118,0.229
Harold Ramirez,TB,2,9,0,1,0,0,0,0,0,3,0,0,0.111,0.111,0.111,0.222
Austin Riley,ATL,4,15,0,1,0,0,0,1,1,5,0,0,0.067,0.125,0.067,0.192
Mark Canha,NYM,3,10,1,0,0,0,0,0,2,2,0,0,0,0.167,0,0.167
Michael Harris,ATL,4,14,0,1,0,0,0,1,0,2,1,0,0.071,0.071,0.071,0.142
Paul Goldschmidt,STL,2,7,0,0,0,0,0,0,0,4,0,0,0,0.125,0,0.125
Yandy Diaz,TB,2,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Brendan Donovan,STL,2,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Raimel Tapia,TOR,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
